skill_id,repository,path,current_requested_ref,proposed_ref,decision,reason
community/performance-patterns,https://github.com/2233admin/performance-patterns-skill.git,skills/performance-patterns,144ab7cd163f9eeda23479be2bfde603fa3b2106,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
data-engineering/spark-and-distributed-processing,https://github.com/vaquarkhan/data-engineering-agent-skills.git,skills/spark-and-distributed-processing,421ef57e8d42c464b29339193c18dd5bd2946bc2,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/ask-matt,https://github.com/mattpocock/skills.git,skills/engineering/ask-matt,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/code-review,https://github.com/mattpocock/skills.git,skills/engineering/code-review,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/codebase-design,https://github.com/mattpocock/skills.git,skills/engineering/codebase-design,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/diagnosing-bugs,https://github.com/mattpocock/skills.git,skills/engineering/diagnosing-bugs,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/domain-modeling,https://github.com/mattpocock/skills.git,skills/engineering/domain-modeling,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/grill-me,https://github.com/mattpocock/skills.git,skills/productivity/grill-me,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/grill-with-docs,https://github.com/mattpocock/skills.git,skills/engineering/grill-with-docs,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/grilling,https://github.com/mattpocock/skills.git,skills/productivity/grilling,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/handoff,https://github.com/mattpocock/skills.git,skills/productivity/handoff,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/implement,https://github.com/mattpocock/skills.git,skills/engineering/implement,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/improve-codebase-architecture,https://github.com/mattpocock/skills.git,skills/engineering/improve-codebase-architecture,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/prototype,https://github.com/mattpocock/skills.git,skills/engineering/prototype,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/research,https://github.com/mattpocock/skills.git,skills/engineering/research,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/resolving-merge-conflicts,https://github.com/mattpocock/skills.git,skills/engineering/resolving-merge-conflicts,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
mattpocock/setup-matt-pocock-skills,https://github.com/mattpocock/skills.git,skills/engineering/setup-matt-pocock-skills,c55ee46073ed923f86ce59a5eb3b6d895095d1b7,,omit,The existing commit recorded an earlier catalog snapshot; the skill itself can follow the upstream default branch.
